Series Name,Series Code,Country Name,Country Code,2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998]
"Population, total",SP.POP.TOTL,Argentina,ARG,..,45808747,45376763,44938712,44494502,44044811,43590368,43131966,42669500,42202935,41733271,41261490,40788453,40684338,40273769,39876111,39476851,39070501,38668796,38278164,37885028,37480493,37070774,36653031,36233195
"Population, total",SP.POP.TOTL,Bolivia,BOL,..,12079472,11936162,11777315,11606905,11435533,11263015,11090085,10916987,10743349,10569697,10396246,10223270,10051317,9880593,9711152,9542663,9377388,9216279,9057378,8900583,8746084,8592656,8439052,8286928
"Population, total",SP.POP.TOTL,Brazil,BRA,..,214326223,213196304,211782878,210166592,208504960,206859578,205188205,203459650,201721767,199977707,198185302,196353492,194517549,192672317,190779453,188820682,186797334,184722043,182629278,180476685,178211881,175873720,173486281,171039804
"Population, total",SP.POP.TOTL,Chile,CHL,..,19493184,19300315,19039485,18701450,18368577,18083879,17870124,17687108,17509925,17341771,17173573,17004162,16833447,16661462,16495538,16334575,16175311,16017966,15859112,15693790,15523978,15351799,15176410,14996742
"Population, total",SP.POP.TOTL,Uruguay,URY,..,3426260,3429086,3428409,3427042,3422200,3413766,3402818,3391662,3381180,3371133,3361637,3352651,3344156,3336126,3328651,3322282,3317665,3313801,3310202,3306441,3300939,3292224,3278963,3262683
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,0.613030016422272,0.61175000667572,0.609390020370483,0.536589980125427,0.517610013484955,0.519010007381439,0.421350002288818,0.401690006256104,0.400330007076263,0.378670006990433,0.365550011396408,0.410120010375977,0.388859987258911,0.424600005149841,0.438840001821518,0.453370004892349,0.411309987306595
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,0.157000005245209,..,..,..,..,..,..,0.276630014181137,0.293579995632172,0.287440001964569,0.298359990119934,0.294950008392334
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,1.23601996898651,1.15113997459412,1.14007997512817,1.15962994098663,1.12029004096985,1.1298600435257,1.08227002620697,0.987919986248016,1.00192999839783,0.962960004806519,0.998160004615784,0.975899994373322,1.03165996074677,0.998860001564026,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Chile,CHL,..,..,..,..,..,..,..,..,0.379280000925064,0.391099989414215,0.364789992570877,0.35343000292778,0.330989986658096,0.35291001200676,0.374989986419678,0.310499995946884,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Uruguay,URY,..,..,..,..,..,..,..,..,0.334419995546341,0.321170002222061,0.32684001326561,0.348699986934662,0.341149985790253,0.412519991397858,0.379729986190796,0.424719989299774,0.365390002727509,..,..,..,0.238179996609688,..,0.209250003099442,0.224169999361038,0.191860005259514
Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,Argentina,ARG,..,456367469658.226,416701315425.136,472966405124.2,504064138330.98,515354487027.184,495916395302.588,499614480942.488,479669494720.951,496099339926.49,477583769075.096,471108934593.607,433505028659.395,392949345623.007,408810156695.797,382307537908.661,350339486290.806,318867854089.059,295918203245.756,273115447949.17,255321675083.125,292902847021.985,308829967824.856,310272627208.082,314355009306.036
Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,Bolivia,BOL,..,32450522480.0192,30805440514.9694,33166096692.8149,31986495072.6028,30631666182.9079,29239703372.4412,28352112490.7033,26807982135.5785,25385942595.9076,23862387762.479,22803503720.1033,21619675041.4822,20817103888.1064,20075730936.0502,19070893203.3843,18317170284.0307,17619179289.3097,17050871256.5302,16563461072.0866,16220826273.3872,15866462340.0365,15635167661.6215,15287606796.5263,14868127711.8495
Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,Brazil,BRA,..,1509306342982.91,1462632488851.58,1543247936414.65,1514920347529.91,1485363959530.22,1465720941267.74,1509203462532.69,1552699403466.46,1523546842348.1,1478934591070.25,1432932380527.73,1375292729543.24,1301455371378.21,1250268896380.26,1186189120771.01,1120911807972.23,1068812157321.83,1029129449684.65,990382649114.233,990645590688.792,972195815171.74,960794976901.299,932333729317.478,925940489786.839
Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,Chile,CHL,..,225915677398.223,191181790378.953,205981787449.727,204566249432.191,197369480798.115,190214135136.785,182763695454.214,177698371666.113,173065028082.254,164928432080.292,155810677702.811,144252182498.889,131185490927.919,129736464116.283,126402531831.97,118657323762.318,110878359978.042,103369050519.084,95671037162.4505,92515767148.1018,90219204710.807,88433197810.9031,85253977922.9888,85742104125.4313
Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,Uruguay,URY,..,44077675341.9004,42609249212.5703,45802638694.1025,45514465381.3737,44522969550.4184,43162889667.2713,42974861783.4115,43045807531.0562,41829558957.8749,39666374799.3716,37757607199.2062,35380835797.0573,32587628312.3396,31741515227.3147,29088193044.674,27243100772.0696,25735747360.1606,24454201127.7192,23754384596.8876,24520153184.9838,26911687540.7162,28000672156.6108,28674373527.6344,28557805309.3993
Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,Argentina,ARG,..,..,..,..,..,..,0.519633214528805,0.538846944140625,0.677170009895398,..,..,..,..,..,..,..,..,..,0.334188666467676,0.206703604787855,0.110307761213129,0.104690510770971,0.116923158121594,0.191871558921146,0.243486958027016
Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.96138366676328,2.84501104776956,3.78089777439413,2.60505709602796,2.17144190609914,2.00839932397978,1.8134673307598,3.09425507081112,2.6449359927151,2.36212102552608
Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,Brazil,BRA,..,..,..,..,..,..,0.320897501414688,0.367215116613365,0.562972894110127,0.547509183133412,0.466033556397212,0.494218494290766,0.765616930146949,1.01649864845157,0.897471614801653,0.792662345259851,0.697283634986572,0.611077298210937,0.502514516497454,0.302552775516354,-0.00895393618963323,-0.0137775502330312,-0.00932473642879461,-0.0186053750789166,-0.00208614072210842
Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,Chile,CHL,..,..,..,..,..,..,2.09238047971968,2.2797043621207,1.99149616122303,1.95130417762278,2.03208665853731,2.12584224548246,2.09218292497855,2.52194549847521,2.12195918279301,1.97012451230064,1.66222235734048,1.72781597152176,1.70654067042071,1.89340337496637,2.09180608810855,2.13160129459177,2.12438556070549,2.67933479725055,2.79537560039164
Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,Uruguay,URY,..,..,..,..,..,..,1.2569463267811,1.23220262516195,1.38588421667709,1.40634999859789,1.44765649746955,1.46698467838351,1.38769256267004,1.56938800978116,1.81977036443251,1.55014837759003,1.40574240009396,1.30399445595265,1.43715429752248,1.1989827059159,1.27951834734542,1.57625591814306,1.14320988448569,0.946091014410798,1.15220157165455
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,..,75.39,75.892,77.284,76.999,76.833,76.308,76.76,76.755,76.491,76.467,76.124,75.721,75.936,75.641,75.006,75.433,75.139,74.855,74.08,74.408,74.186,73.926,73.722,73.474
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,..,63.63,64.467,67.841,67.748,67.701,67.628,67.318,67.163,67.021,66.705,66.534,66.162,65.88,65.446,65.027,64.779,64.386,64.004,63.635,63.306,62.843,62.346,61.871,61.332
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,..,72.75,74.009,75.338,75.109,74.827,74.442,74.332,74.306,73.918,73.552,73.343,73.182,72.948,72.715,72.365,72.037,71.753,71.131,70.72,70.41,70.195,69.737,69.524,69.189
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,..,78.944,79.377,80.326,80.133,80.35,80.079,79.746,79.473,79.339,79.023,79.11,78.501,78.741,78.484,77.826,78.261,78.016,77.616,77.387,77.445,76.773,76.87,76.018,75.669
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uruguay,URY,..,75.436,78.43,77.508,77.611,77.625,77.571,77.483,77.366,77.24,77.111,76.983,76.858,76.738,76.623,76.498,76.362,76.194,76.007,75.785,75.54,75.285,75.025,74.769,74.527
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
